iterations,bb100_vs_regles,err_regles,bb100_vs_dqn,err_dqn
75000,-1076.5,235.0,-315.0,223.3
150000,-745.6,232.3,-497.0,217.5
225000,-489.4,227.9,-197.7,210.7
300000,-710.7,210.3,-109.8,203.8
375000,-705.7,204.7,-472.5,201.8
495000,-126.8,202.5,-593.6,197.6
1245000,-285.7,173.1,-0.7,171.1
2745000,-313.8,184.6,42.8,163.1
4245000,288.5,164.4,217.8,165.4
5745000,-487.4,163.2,333.8,156.7
7745000,-61.1,153.1,337.5,143.5
9745000,55.2,165.4,401.0,153.2
11745000,88.2,173.8,52.0,154.9
13745000,23.3,171.4,258.6,151.8
15745000,81.1,166.7,-176.6,165.7
17745000,395.1,158.2,-145.0,145.6
19745000,148.7,149.1,48.3,151.9
21745000,-1.9,159.4,-67.0,161.1
23745000,31.7,130.7,226.8,141.8
25745000,273.9,142.7,7.3,136.6
27745000,135.8,152.0,388.1,140.5
29745000,27.8,140.1,104.4,130.2
