iterations,situations,iters_par_s,eta_min
300000,12215935,1634.2,303
600000,16229402,1756.7,279
900000,18389894,1763.9,275
1200000,19794335,1794.1,268
1500000,20817239,1747.4,272
1800000,21591147,1646.4,285
2100000,22227808,1558.9,298
2400000,22756847,1421.2,324
2700000,23208051,1171.3,388
3000000,23597561,1034.8,435
3300000,23939249,860.1,72
3600000,24244403,1020.7,56
3900000,24517987,1171.5,44
4200000,24768515,1242.5,38
4500000,24995544,1289.8,32
4800000,25202694,311.4,118
5100000,25392486,832.8,38
5400000,25565350,950.3,28
5700000,25726399,969.5,22
6000000,25876265,886.1,19
6300000,26014102,867.7,13
6600000,26143218,903.9,7
6900000,26262304,940.2,2
7200000,26376555,1008.1,-3
7500000,23074444,1193.8,63
7800000,23580323,1340.8,52
8100000,23969391,1441.9,45
8400000,24292628,1521.8,39
8700000,24569506,1419.2,39
9000000,24814223,1436.8,35
9300000,25033635,1433.1,31
9600000,25231020,1434.2,28
9900000,25408396,1434.9,24
10200000,25568367,1432.2,21
10500000,25716163,1419.7,18
10800000,25852909,1421.4,14
11100000,25981605,1424.6,11
11400000,26100018,1424.6,7
11700000,26211661,1368.1,4
12000000,26315735,1357.3,0
12300000,26413933,622.4,313
12600000,26505504,740.8,256
12900000,26593223,741.5,249
13200000,26675978,758.8,237
13500000,26753504,770.6,227
13800000,26827265,783.5,217
14100000,26897927,784.9,210
14400000,26965900,786.1,204
14700000,27029269,791.7,196
15000000,27090144,718.0,209
15300000,27148811,661.2,219
15600000,27204825,381.4,629
15900000,27258788,459.8,511
16200000,27310434,376.9,345
16500000,27360205,416.5,300
16800000,27408160,436.5,275
17100000,27453967,451.9,254
17400000,27497301,462.2,238
17700000,27540194,468.4,224
18000000,27581605,472.0,212
18300000,27621393,477.0,199
18600000,27659949,475.1,189
18900000,27697203,473.3,180
19200000,27732594,473.8,169
19500000,27766050,473.8,158
19800000,27799048,471.9,148
20100000,27831084,470.8,138
20400000,27862281,468.7,128
20700000,27892300,468.7,117
21000000,27921651,468.1,107
21300000,27949115,466.2,97
21600000,27976019,465.2,86
21900000,28002904,463.3,76
22200000,28028957,461.9,65
22500000,28053865,460.1,54
22800000,28077911,459.3,44
23100000,28101298,457.1,33
23400000,28124606,454.6,22
23700000,28146581,453.5,11
24000000,28168034,457.6,0
24300000,26984492,372.0,121
24600000,27107281,449.0,89
24900000,27205484,466.7,75
25200000,27290782,470.9,64
25500000,27361648,475.5,53
25800000,27427718,476.2,42
26100000,27486140,474.1,32
26400000,27540712,474.8,21
26700000,27590770,476.4,10
27000000,27636760,488.8,0
